employee,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
AC,p5,OFF,OFF,p5,p1,p3,p4,n2,OFF,OFF,d1,p3,OFF,OFF,p3,p3,n3,OFF,OFF,OFF,OFF,d2,d2,OFF,OFF,a4,d5,OFF
AD,OFF,a5,n3,OFF,OFF,d1,p1,p1,OFF,OFF,p2,n1,OFF,OFF,OFF,d5,p1,n1,n2,OFF,OFF,OFF,OFF,OFF,OFF,a4,p5,p3
AE,p1,n3,n1,n1,OFF,OFF,OFF,OFF,OFF,OFF,a1,a3,a1,d5,n1,OFF,OFF,d5,p3,OFF,OFF,p2,p3,p3,p3,OFF,OFF,a2
AF,OFF,d1,d2,d2,OFF,OFF,OFF,OFF,n2,n2,OFF,OFF,OFF,OFF,d4,d3,d2,d4,d3,OFF,OFF,d1,d5,OFF,OFF,d3,d5,n3
AG,OFF,OFF,a3,a5,p3,p1,p4,OFF,OFF,a1,a5,OFF,OFF,OFF,OFF,a1,p2,p2,p2,OFF,OFF,p4,p2,OFF,OFF,OFF,a5,n3
AH,n2,OFF,OFF,a5,n3,OFF,OFF,OFF,p3,p3,OFF,OFF,d5,p3,OFF,OFF,a5,p3,p4,OFF,OFF,OFF,OFF,a1,a2,a1,a1,a2
AI,OFF,d4,d4,n3,OFF,OFF,OFF,OFF,d2,n2,n2,OFF,OFF,d1,p2,OFF,OFF,a1,d5,OFF,OFF,OFF,OFF,a2,a1,d4,n1,n3
AJ,a4,n1,OFF,OFF,d1,d1,d5,OFF,OFF,d3,a5,p4,OFF,OFF,OFF,d1,d1,d3,n1,OFF,OFF,OFF,OFF,d5,p4,p4,OFF,OFF
AK,a1,a2,p5,n3,OFF,OFF,p1,p5,OFF,OFF,a1,p1,OFF,OFF,OFF,OFF,OFF,a3,p5,OFF,OFF,a3,p5,p3,OFF,OFF,n1,n3
AL,OFF,d3,p4,p5,OFF,OFF,OFF,d5,n1,n2,OFF,OFF,OFF,OFF,OFF,a3,a1,d5,OFF,OFF,OFF,p4,p4,OFF,OFF,d3,d5,p4
AM,p4,p4,p2,OFF,OFF,a4,d1,d5,OFF,OFF,a4,n2,OFF,OFF,a5,p2,OFF,OFF,p4,p1,p1,OFF,OFF,p1,n2,OFF,OFF,OFF
AN,OFF,n3,n2,OFF,OFF,OFF,p3,p4,OFF,OFF,a5,p3,OFF,OFF,OFF,OFF,p5,p3,p1,OFF,OFF,d3,a5,OFF,OFF,d3,d5,n3
AO,a5,p3,p2,OFF,OFF,OFF,p1,p3,OFF,OFF,d5,p3,OFF,OFF,p3,p1,p5,OFF,OFF,OFF,OFF,OFF,d4,d4,d4,d4,d4,OFF
AP,n3,OFF,OFF,a4,n2,OFF,OFF,OFF,OFF,a1,a2,d5,p2,n2,OFF,OFF,a4,d1,d5,OFF,OFF,p1,p2,OFF,OFF,OFF,a2,a1
AQ,a1,OFF,OFF,a1,a1,OFF,OFF,d5,p2,n2,OFF,OFF,OFF,a1,p5,OFF,OFF,a2,a1,OFF,OFF,p3,p5,OFF,OFF,d4,d1,p5
AR,n1,OFF,OFF,a1,d4,d5,OFF,OFF,OFF,d1,n3,OFF,OFF,d4,p1,OFF,OFF,d4,d4,OFF,OFF,d1,d3,d5,n1,n1,OFF,OFF
AS,OFF,OFF,a1,p1,p1,n1,n1,OFF,OFF,OFF,p3,n3,OFF,OFF,OFF,a3,a3,a1,p3,n3,OFF,OFF,a3,a1,a5,p3,OFF,OFF
AT,n1,OFF,OFF,p5,p1,p5,OFF,OFF,a1,p5,OFF,OFF,p5,n1,OFF,OFF,d4,p5,p1,OFF,OFF,OFF,OFF,p1,p1,p1,OFF,OFF
AU,p5,OFF,OFF,d5,p2,p2,n2,OFF,OFF,p2,p5,n1,OFF,OFF,n1,n1,OFF,OFF,d4,p5,OFF,OFF,a2,a2,OFF,OFF,OFF,OFF
AV,p1,p1,p5,OFF,OFF,a3,a3,a5,n3,OFF,OFF,OFF,OFF,OFF,a5,p1,p3,OFF,OFF,OFF,OFF,OFF,OFF,OFF,a3,a4,d2,n3
AW,OFF,OFF,OFF,d1,a5,OFF,OFF,OFF,a1,a1,OFF,OFF,OFF,OFF,a5,p5,OFF,OFF,OFF,a1,a1,a5,p5,n2,OFF,OFF,a5,p5
AX,OFF,d5,n3,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,d1,a5,n2,n2,OFF,OFF,a5,p2,OFF,OFF,d5,p1,n1,OFF,OFF,d3,n3
AY,p3,p5,n3,OFF,OFF,OFF,OFF,d1,p5,OFF,OFF,p1,p5,OFF,OFF,p5,p1,OFF,OFF,OFF,OFF,OFF,a3,a2,a1,a2,d1,OFF
AZ,OFF,d5,p4,OFF,OFF,a4,p2,OFF,OFF,d2,d3,n1,OFF,OFF,a3,p2,p2,p2,n1,OFF,OFF,OFF,OFF,p2,p4,OFF,OFF,p4
BA,OFF,OFF,d5,p5,OFF,OFF,OFF,OFF,OFF,a5,p3,n1,OFF,OFF,OFF,OFF,OFF,a2,p5,p3,p5,OFF,OFF,a2,a2,d5,p5,OFF
BB,OFF,OFF,a5,p2,OFF,OFF,a5,n1,OFF,OFF,a4,a3,d5,p3,OFF,OFF,a1,a3,p2,OFF,OFF,d3,d5,n1,OFF,OFF,OFF,OFF
BC,p2,p2,p4,p2,p2,OFF,OFF,OFF,OFF,a3,d5,OFF,OFF,OFF,p2,n2,n2,OFF,OFF,a4,p2,OFF,OFF,a3,n3,OFF,OFF,a2
BD,p1,OFF,OFF,a4,n1,OFF,OFF,d2,n3,n1,n3,n2,OFF,OFF,a2,a5,p1,n1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,d2,d3
BE,OFF,d5,n3,n1,OFF,OFF,d3,a5,p1,p1,OFF,OFF,OFF,OFF,OFF,a1,d3,OFF,OFF,OFF,OFF,a1,d5,OFF,OFF,a5,p3,p3
BF,OFF,d5,p5,p1,OFF,OFF,OFF,OFF,a5,n2,OFF,OFF,d1,d3,d3,OFF,OFF,d1,d5,OFF,OFF,OFF,OFF,OFF,a1,p2,n2,n1
BG,a4,n3,OFF,OFF,OFF,OFF,OFF,p5,n3,OFF,OFF,OFF,a4,a3,a3,p3,p5,OFF,OFF,OFF,OFF,OFF,OFF,d1,p5,p1,p5,OFF
BH,d4,d5,n3,OFF,OFF,d3,d1,OFF,OFF,a3,a1,d5,OFF,OFF,a1,d5,n1,OFF,OFF,OFF,OFF,OFF,OFF,d2,p3,OFF,OFF,p3
BI,a4,n3,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,a4,a4,a1,a1,p3,OFF,OFF,a1,d5,OFF,OFF,d4,d4,OFF,OFF,a1,a2,a4
BJ,d1,p2,OFF,OFF,a3,p1,p3,p2,OFF,OFF,OFF,OFF,OFF,OFF,a3,a2,a2,p2,p2,OFF,OFF,OFF,p5,p2,n3,OFF,OFF,d5
BK,d1,OFF,OFF,OFF,OFF,OFF,d4,d4,d4,d1,d5,OFF,OFF,OFF,OFF,d5,p3,n3,OFF,OFF,d1,n3,OFF,OFF,a4,d5,OFF,OFF
BL,OFF,p5,p1,p5,p2,OFF,OFF,a1,d2,p2,p4,OFF,OFF,OFF,n3,n1,OFF,OFF,OFF,OFF,OFF,d3,p3,OFF,OFF,OFF,a4,n3
BM,p2,p5,n3,OFF,OFF,OFF,OFF,OFF,a2,p5,p1,OFF,OFF,OFF,OFF,OFF,OFF,d2,a5,n2,n1,n3,OFF,OFF,OFF,a2,d2,d3
BN,d2,d5,p5,OFF,OFF,OFF,a5,p5,n1,n1,n1,OFF,OFF,OFF,d5,p5,OFF,OFF,OFF,OFF,OFF,a5,p1,n2,OFF,OFF,OFF,OFF
BO,a4,n3,OFF,OFF,OFF,a2,a5,p2,n1,n1,OFF,OFF,OFF,OFF,p2,p2,p1,OFF,OFF,OFF,OFF,a2,a2,OFF,OFF,OFF,d5,n3
BP,OFF,d1,n3,OFF,OFF,OFF,OFF,a4,d5,n3,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,d1,d2,d4,OFF,OFF,a4,d1,d5,p1,p3
BQ,OFF,OFF,d3,n2,n2,OFF,OFF,d1,d5,n3,OFF,OFF,OFF,OFF,d5,p1,OFF,OFF,d3,n3,OFF,OFF,OFF,OFF,p2,p1,p4,p2
BR,d3,d5,p4,OFF,OFF,OFF,OFF,OFF,OFF,d3,d5,OFF,OFF,OFF,OFF,a2,n3,OFF,OFF,OFF,a2,a4,a4,p5,OFF,OFF,n2,n2
BS,OFF,d5,p5,p1,OFF,OFF,OFF,d3,d5,n1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,a4,p1,p1,p1,p1,OFF,OFF,OFF,a4,d5,n1
BT,OFF,d2,n2,OFF,OFF,d3,d5,p1,OFF,OFF,d2,d5,OFF,OFF,OFF,OFF,a4,p3,n1,OFF,OFF,d5,p1,OFF,OFF,a4,d5,OFF
BU,p4,n3,OFF,OFF,p5,p1,p5,OFF,OFF,OFF,d3,p5,OFF,OFF,OFF,d4,d3,p1,n1,n1,OFF,OFF,OFF,OFF,a4,a1,OFF,OFF
BV,n3,OFF,OFF,OFF,OFF,a3,a4,p3,OFF,OFF,a3,a5,OFF,OFF,OFF,OFF,a4,d1,a5,OFF,OFF,d4,d4,p2,p3,OFF,OFF,p2
BW,OFF,p5,p2,p3,OFF,OFF,OFF,d2,p5,OFF,OFF,OFF,OFF,OFF,OFF,a2,a2,a5,OFF,OFF,p2,p5,p3,n3,n2,OFF,OFF,a3
BX,OFF,d5,p1,p1,n3,OFF,OFF,OFF,OFF,d2,d2,d1,d5,n2,OFF,OFF,d5,p3,p3,OFF,OFF,OFF,OFF,OFF,d1,a5,OFF,OFF
BY,a4,a1,p5,n3,OFF,OFF,OFF,OFF,d2,p5,n3,OFF,OFF,OFF,OFF,OFF,OFF,a4,p2,p5,OFF,OFF,OFF,OFF,a1,a2,n2,OFF
BZ,OFF,d2,d5,p5,n2,OFF,OFF,OFF,d4,d1,d5,OFF,OFF,OFF,a4,a4,OFF,OFF,a1,d3,p5,OFF,OFF,OFF,OFF,OFF,OFF,d4
CA,a4,n3,OFF,OFF,OFF,OFF,d1,p5,OFF,OFF,OFF,a5,p5,p3,OFF,OFF,p5,p1,p5,OFF,OFF,OFF,a4,a3,a2,OFF,OFF,OFF
CB,d5,n1,OFF,OFF,d4,d4,d4,d4,OFF,OFF,OFF,OFF,OFF,OFF,p5,p1,n2,OFF,OFF,OFF,OFF,d5,p2,OFF,OFF,a3,d3,p2
CC,d3,OFF,OFF,d1,d1,OFF,OFF,OFF,a4,a3,p2,n2,OFF,OFF,OFF,a3,a2,n2,OFF,OFF,d2,a5,OFF,OFF,a4,d3,d2,OFF
CD,OFF,p5,n3,OFF,OFF,n2,n2,OFF,OFF,d3,d5,p2,OFF,OFF,a1,d3,d3,p2,p3,OFF,OFF,OFF,OFF,OFF,n1,n3,OFF,OFF
CE,OFF,OFF,OFF,d5,p4,OFF,OFF,a2,p5,OFF,OFF,a1,d5,n2,OFF,OFF,OFF,p5,n3,OFF,OFF,p1,n3,OFF,OFF,d5,p1,OFF
CF,a4,d5,n3,n2,OFF,OFF,d5,p2,OFF,OFF,d5,p2,OFF,OFF,OFF,OFF,OFF,a2,d5,p1,p5,p2,OFF,OFF,OFF,OFF,OFF,OFF
CG,OFF,a1,a4,d5,OFF,OFF,a5,p1,p1,OFF,OFF,a4,a4,OFF,OFF,a1,p5,n2,OFF,OFF,OFF,d2,a5,OFF,OFF,OFF,OFF,OFF
CH,d2,a5,p2,OFF,OFF,OFF,a2,n3,OFF,OFF,a5,p1,OFF,OFF,p2,p2,p3,OFF,OFF,a5,n3,OFF,OFF,p2,p2,OFF,OFF,OFF
CI,a2,a2,d2,d2,OFF,OFF,OFF,OFF,a2,a2,a2,OFF,OFF,OFF,OFF,OFF,OFF,a4,a4,n3,OFF,OFF,d1,a5,n3,OFF,OFF,a4
CJ,OFF,OFF,n3,n1,OFF,OFF,OFF,OFF,d2,a5,OFF,OFF,OFF,OFF,OFF,d3,d2,OFF,OFF,d4,d3,d5,OFF,OFF,d3,d5,p5,n3
CK,OFF,d2,d2,d5,OFF,OFF,OFF,OFF,a4,a4,n2,OFF,OFF,OFF,OFF,d3,d4,n1,n2,OFF,OFF,OFF,d1,p4,OFF,OFF,d1,n3
CL,a3,p3,n3,OFF,OFF,p3,p3,n1,OFF,OFF,OFF,OFF,OFF,a4,a5,OFF,OFF,a1,a5,OFF,OFF,a3,a5,p4,p2,OFF,OFF,OFF
CM,d4,p5,OFF,OFF,OFF,d5,p5,p2,OFF,OFF,OFF,OFF,d2,d2,d2,d2,d4,d5,OFF,OFF,OFF,a2,a2,a4,n1,OFF,OFF,OFF
CN,d2,d3,p5,OFF,OFF,OFF,OFF,d5,p1,OFF,OFF,OFF,p2,p4,OFF,OFF,OFF,p1,p2,OFF,OFF,OFF,d1,d4,d4,d4,d4,d4
CO,OFF,a4,a4,OFF,OFF,OFF,p3,n2,n2,OFF,OFF,OFF,OFF,OFF,a1,a4,a1,a5,p1,OFF,OFF,OFF,a3,a3,d4,p4,p5,OFF
CP,a4,a1,d5,OFF,OFF,OFF,a5,p4,OFF,OFF,OFF,a1,d1,a5,p1,p4,OFF,OFF,OFF,OFF,OFF,d2,d4,d2,p2,n1,OFF,OFF
CQ,a4,a5,OFF,OFF,OFF,a5,n3,n2,OFF,OFF,OFF,OFF,a3,a5,p1,p1,n3,OFF,OFF,OFF,OFF,OFF,a1,d1,d1,a5,OFF,OFF
CR,OFF,d2,a5,p3,OFF,OFF,OFF,a4,a2,a2,a2,a2,OFF,OFF,OFF,OFF,d2,d2,d2,d2,d2,a5,OFF,OFF,OFF,OFF,a3,a4
CS,OFF,OFF,d5,p1,n2,OFF,OFF,OFF,OFF,a3,d5,p4,n1,OFF,OFF,OFF,OFF,a3,a5,OFF,OFF,OFF,OFF,a3,a3,d5,p5,n2
CT,a1,a3,a4,p5,p3,OFF,OFF,OFF,OFF,a3,d1,OFF,OFF,OFF,OFF,d1,d1,p5,p3,OFF,OFF,OFF,OFF,OFF,a4,d1,p5,n3
CU,p2,p5,n3,n1,OFF,OFF,OFF,a2,a1,a1,a3,a3,n3,OFF,OFF,OFF,a3,a3,a1,OFF,OFF,OFF,a1,a2,n1,OFF,OFF,OFF
CV,a4,n3,n2,n2,n1,OFF,OFF,OFF,a4,a4,d2,OFF,OFF,OFF,OFF,OFF,OFF,a1,d2,OFF,OFF,OFF,OFF,a2,a4,a4,a4,a1
CW,p1,p1,p5,OFF,OFF,a5,p2,OFF,OFF,OFF,OFF,OFF,OFF,a3,a3,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,p2,p4
CX,OFF,a5,p5,OFF,OFF,OFF,OFF,OFF,OFF,OFF,d2,d3,n3,n1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,p3,n2,OFF,OFF,OFF,OFF,a1
CY,a3,a5,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,a3,d2,OFF,OFF,OFF,a2,d4,d4,OFF,OFF,OFF,OFF,OFF,p1,n3
CZ,a4,p1,OFF,OFF,OFF,p1,n2,OFF,OFF,OFF,OFF,OFF,OFF,d2,p3,OFF,OFF,OFF,OFF,OFF,OFF,p2,p5,OFF,OFF,OFF,OFF,d2
DA,d2,d5,OFF,OFF,OFF,OFF,d5,p1,OFF,OFF,OFF,OFF,d4,p1,OFF,OFF,OFF,OFF,a3,a3,a3,OFF,OFF,OFF,OFF,OFF,OFF,OFF
DB,OFF,a5,p5,OFF,OFF,OFF,OFF,d1,n2,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,p2,p2,p2,n1,n1,OFF,OFF,OFF,OFF,OFF
DC,a2,a5,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,a2,n1,n1,OFF,OFF,OFF,OFF,d3,a5,OFF,OFF,OFF,OFF,OFF,OFF,a1,p4
DD,d1,d1,OFF,OFF,OFF,OFF,OFF,d1,d1,d1,d1,d2,OFF,OFF,OFF,OFF,OFF,OFF,OFF,n1,n1,OFF,OFF,OFF,OFF,OFF,OFF,n2
DE,a1,p3,OFF,OFF,a1,d1,OFF,OFF,OFF,OFF,d2,p1,OFF,OFF,p1,n3,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,d2,d2
DF,p4,p5,n1,n1,OFF,OFF,a1,p3,OFF,OFF,OFF,a2,a5,p5,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
DG,d2,d5,OFF,OFF,d5,n3,n1,OFF,OFF,OFF,a1,p2,n2,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,d1
DH,p3,p5,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,p3,p2,OFF,OFF,d2,p4,p4,p2,n2,OFF,OFF,OFF,OFF,OFF,OFF,OFF
DI,a1,d5,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,d1,d1,d4,OFF,OFF,OFF,OFF,OFF,d3,d5,n1,OFF,OFF,OFF,OFF,OFF,OFF,d1
DJ,a4,d5,p5,p3,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,p4,p4,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,a3,d5,OFF
DK,n3,OFF,OFF,OFF,d1,d5,OFF,OFF,OFF,OFF,OFF,OFF,OFF,a1,a2,n1,OFF,OFF,OFF,d3,d3,n1,OFF,OFF,OFF,OFF,OFF,OFF
DL,p3,OFF,OFF,p5,OFF,OFF,OFF,OFF,p2,p5,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,n2,OFF,OFF,OFF,OFF,OFF,a5,OFF,OFF
DM,OFF,OFF,n3,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,a2,d1,d1,d1,d1,OFF,OFF,OFF,OFF,p4,OFF,OFF,OFF,OFF
DN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,a4,OFF,OFF,d3,p5,OFF,OFF,a3,a3,OFF,OFF,a1,OFF,OFF,a3,OFF,OFF,OFF,OFF,OFF,OFF
DO,OFF,a5,OFF,OFF,OFF,OFF,OFF,a1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,a4,OFF,OFF,a5,OFF,OFF,a2,OFF,OFF,a5
DP,OFF,a5,OFF,OFF,OFF,OFF,OFF,OFF,OFF,a2,p5,OFF,OFF,OFF,n3,OFF,OFF,OFF,OFF,p2,OFF,OFF,OFF,OFF,OFF,p3,OFF,OFF
