employee,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
K,E,E,E,OFF,OFF,D,D,D,N,N,OFF,OFF,D,D,OFF,OFF,E,N,N,OFF,OFF,OFF,E,D,D,D,OFF,OFF,E,E,E,E,OFF,OFF,OFF,E,E,E,E,D,OFF,OFF,OFF,D,D,OFF,OFF,E,D,OFF,OFF,N,N,N,N,N
L,E,L,L,OFF,OFF,L,L,L,OFF,OFF,E,E,E,E,L,OFF,OFF,E,E,L,L,OFF,OFF,L,N,N,OFF,OFF,OFF,OFF,OFF,L,L,L,L,N,OFF,OFF,N,N,OFF,OFF,N,N,N,N,N,OFF,OFF,L,L,L,L,L,OFF,OFF
M,E,E,E,E,E,OFF,OFF,E,D,D,OFF,OFF,L,L,L,L,L,OFF,OFF,OFF,OFF,OFF,D,D,D,D,OFF,OFF,D,D,D,OFF,OFF,E,E,D,D,D,OFF,OFF,D,D,D,D,L,OFF,OFF,L,L,L,L,L,OFF,OFF,OFF,OFF
N,D,L,N,N,OFF,OFF,OFF,OFF,D,D,N,N,OFF,OFF,D,D,D,D,L,OFF,OFF,OFF,OFF,L,L,L,L,N,OFF,OFF,OFF,L,L,L,L,L,OFF,OFF,D,D,N,N,N,OFF,OFF,E,L,L,N,OFF,OFF,L,L,N,OFF,OFF
O,E,N,OFF,OFF,OFF,OFF,OFF,E,E,E,E,E,OFF,OFF,E,E,E,OFF,OFF,E,N,N,N,OFF,OFF,E,E,E,E,E,OFF,OFF,E,E,E,E,E,OFF,OFF,E,N,N,N,OFF,OFF,N,N,OFF,OFF,E,E,E,E,E,OFF,OFF
P,D,D,D,OFF,OFF,N,N,OFF,OFF,D,D,D,D,D,OFF,OFF,D,D,D,OFF,OFF,L,L,L,L,L,OFF,OFF,N,N,OFF,OFF,D,D,D,L,L,OFF,OFF,D,D,D,D,N,OFF,OFF,OFF,OFF,OFF,N,N,N,N,N,OFF,OFF
Q,N,OFF,OFF,E,L,OFF,OFF,OFF,L,L,L,L,OFF,OFF,L,N,N,OFF,OFF,E,E,E,E,N,OFF,OFF,E,E,E,E,E,OFF,OFF,L,L,L,N,OFF,OFF,L,L,L,L,OFF,OFF,L,L,OFF,OFF,N,N,N,N,N,OFF,OFF
R,D,D,D,D,OFF,OFF,OFF,E,D,D,D,D,OFF,OFF,N,N,N,N,N,OFF,OFF,D,D,OFF,OFF,N,N,N,N,OFF,OFF,E,E,E,E,E,OFF,OFF,E,E,E,D,D,OFF,OFF,D,D,OFF,OFF,OFF,OFF,OFF,OFF,D,D,D
S,E,E,D,D,D,OFF,OFF,E,E,L,OFF,OFF,D,L,L,OFF,OFF,E,E,D,L,OFF,OFF,OFF,E,L,L,L,L,OFF,OFF,D,L,OFF,OFF,D,L,OFF,OFF,D,D,D,OFF,OFF,E,L,L,OFF,OFF,L,L,L,L,L,OFF,OFF
T,E,E,E,OFF,OFF,L,L,L,OFF,OFF,OFF,OFF,N,N,N,OFF,OFF,L,L,OFF,OFF,L,L,N,N,N,OFF,OFF,L,N,N,N,OFF,OFF,OFF,E,L,L,L,L,OFF,OFF,E,N,OFF,OFF,E,L,L,OFF,OFF,E,E,E,E,E
U,N,N,N,N,N,OFF,OFF,OFF,E,D,OFF,OFF,L,L,L,L,OFF,OFF,E,L,L,OFF,OFF,D,D,L,OFF,OFF,OFF,E,D,L,OFF,OFF,OFF,L,L,N,N,N,OFF,OFF,OFF,OFF,E,E,E,E,E,OFF,OFF,E,D,L,L,L
V,E,E,E,D,N,OFF,OFF,L,N,OFF,OFF,N,N,N,OFF,OFF,E,E,E,E,E,OFF,OFF,OFF,D,D,D,D,N,OFF,OFF,OFF,OFF,D,L,L,L,L,OFF,OFF,OFF,OFF,L,L,N,N,N,OFF,OFF,E,E,D,L,L,OFF,OFF
W,E,E,L,L,L,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,N,N,N,N,N,OFF,OFF,E,D,D,D,D,OFF,OFF,OFF,OFF,D,D,D,D,N,OFF,OFF,D,D,D,D,D,OFF,OFF,E,E,E,E,D,OFF,OFF,E,D,N,N,N
X,D,D,D,D,D,OFF,OFF,L,L,OFF,OFF,OFF,OFF,OFF,L,L,L,L,L,OFF,OFF,E,L,OFF,OFF,L,L,L,L,OFF,OFF,D,D,OFF,OFF,D,D,L,OFF,OFF,L,L,L,L,L,OFF,OFF,D,D,D,D,D,OFF,OFF,D,D
Y,L,L,L,OFF,OFF,D,L,N,OFF,OFF,D,D,D,D,D,OFF,OFF,OFF,N,N,N,N,N,OFF,OFF,OFF,OFF,OFF,OFF,E,E,E,E,E,OFF,OFF,E,E,D,D,OFF,OFF,D,L,L,L,L,OFF,OFF,D,D,D,N,N,OFF,OFF
Z,E,E,E,OFF,OFF,N,N,OFF,OFF,E,E,E,E,E,OFF,OFF,E,N,N,N,N,OFF,OFF,E,E,E,E,E,OFF,OFF,E,E,E,OFF,OFF,E,N,N,N,OFF,OFF,OFF,OFF,OFF,E,E,E,OFF,OFF,E,E,E,E,E,OFF,OFF
AA,L,N,N,OFF,OFF,E,E,L,N,N,OFF,OFF,E,E,D,D,D,OFF,OFF,D,D,D,D,D,OFF,OFF,OFF,OFF,E,E,E,E,E,OFF,OFF,OFF,D,D,OFF,OFF,E,E,E,E,N,OFF,OFF,OFF,OFF,D,D,N,N,N,OFF,OFF
AB,N,OFF,OFF,OFF,OFF,E,E,E,E,D,OFF,OFF,L,L,L,L,L,OFF,OFF,D,D,D,D,D,OFF,OFF,E,N,OFF,OFF,N,N,N,OFF,OFF,D,D,D,D,N,OFF,OFF,E,D,L,L,L,OFF,OFF,L,N,N,N,OFF,OFF,OFF
AC,E,E,E,E,E,OFF,OFF,D,D,D,D,D,OFF,OFF,N,N,OFF,OFF,D,D,D,D,D,OFF,OFF,OFF,D,D,D,D,D,OFF,OFF,OFF,OFF,OFF,OFF,E,D,D,N,N,OFF,OFF,D,D,L,L,N,OFF,OFF,L,L,L,OFF,OFF
AD,OFF,OFF,OFF,D,D,D,D,N,OFF,OFF,D,L,L,L,OFF,OFF,D,D,D,L,L,OFF,OFF,E,D,OFF,OFF,OFF,E,L,N,N,N,OFF,OFF,D,D,D,D,D,OFF,OFF,OFF,E,E,L,N,OFF,OFF,N,N,OFF,OFF,D,D,D
AE,L,N,N,N,OFF,OFF,OFF,OFF,E,E,E,L,OFF,OFF,D,D,D,D,OFF,OFF,OFF,L,L,OFF,OFF,OFF,D,D,D,D,OFF,OFF,OFF,OFF,OFF,L,N,N,OFF,OFF,L,L,N,N,OFF,OFF,D,N,N,N,OFF,OFF,D,L,L,L
AF,D,D,OFF,OFF,L,L,L,N,OFF,OFF,OFF,N,N,N,N,OFF,OFF,E,E,E,E,OFF,OFF,E,D,D,OFF,OFF,OFF,OFF,D,D,L,OFF,OFF,OFF,E,E,E,E,OFF,OFF,OFF,L,L,L,N,OFF,OFF,E,E,D,OFF,OFF,D,D
