employee,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Z,OFF,D,D,D,D,OFF,OFF,OFF,OFF,OFF,E,E,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,D,OFF,OFF,OFF,OFF,D,D,D
AA,OFF,OFF,OFF,OFF,OFF,OFF,OFF,N,OFF,OFF,N,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,L,OFF,L,OFF,OFF,OFF,OFF,L,L
AB,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,D,OFF,OFF,OFF,OFF,OFF,OFF,OFF,D,D,OFF,OFF,D,OFF,N,N,OFF
AC,D,D,OFF,OFF,OFF,D,N,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,D,OFF,OFF,OFF,OFF,N,OFF
AD,OFF,OFF,OFF,OFF,OFF,OFF,E,E,E,D,N,OFF,OFF,OFF,N,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
AE,OFF,OFF,OFF,OFF,OFF,E,L,OFF,OFF,E,OFF,OFF,OFF,OFF,OFF,E,OFF,OFF,OFF,OFF,E,OFF,OFF,D,OFF,OFF,OFF,E
AF,OFF,OFF,OFF,E,OFF,L,OFF,OFF,OFF,OFF,OFF,OFF,E,E,E,OFF,OFF,OFF,OFF,OFF,OFF,OFF,L,OFF,OFF,OFF,OFF,E
AG,OFF,OFF,OFF,D,OFF,E,D,OFF,OFF,OFF,OFF,L,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,E,E,E,OFF,OFF,OFF,OFF,OFF
AH,E,E,E,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,D,OFF,OFF,OFF,OFF,OFF,OFF,OFF,D,OFF,OFF,OFF,OFF,OFF,L,OFF,E
AI,OFF,OFF,OFF,D,OFF,OFF,OFF,OFF,OFF,OFF,D,D,D,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,D,D,OFF,OFF,OFF,OFF,D
AJ,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,L,L,OFF,L,OFF,OFF,OFF,OFF,L,L,L,L,OFF,OFF
