employee,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
L,OFF,OFF,E,E,E,E,E,OFF,OFF,E,N,N,OFF,OFF,E,D,L,OFF,OFF,D,L,L,L,L,OFF,OFF,OFF,OFF,E,L,L,N,OFF,OFF,E,E,OFF,OFF,N,N,OFF,OFF
M,D,D,D,OFF,OFF,D,D,D,D,D,OFF,OFF,D,D,OFF,OFF,D,D,D,D,D,OFF,OFF,OFF,OFF,OFF,OFF,OFF,D,D,D,D,D,OFF,OFF,D,D,D,D,D,OFF,OFF
N,E,E,OFF,OFF,D,E,E,E,OFF,OFF,D,E,OFF,OFF,D,D,E,D,D,OFF,OFF,E,E,OFF,OFF,D,E,N,N,OFF,OFF,E,E,N,N,N,OFF,OFF,OFF,OFF,OFF,OFF
O,L,OFF,OFF,D,D,L,L,L,OFF,OFF,L,L,L,L,OFF,OFF,OFF,OFF,L,L,L,OFF,OFF,D,D,D,OFF,OFF,L,L,L,L,L,OFF,OFF,OFF,D,L,L,L,OFF,OFF
P,N,N,N,N,N,OFF,OFF,OFF,OFF,D,D,D,D,D,OFF,OFF,D,D,OFF,OFF,OFF,D,D,D,OFF,OFF,D,D,D,D,OFF,OFF,OFF,OFF,OFF,OFF,D,D,D,D,D,OFF
Q,L,L,L,L,L,OFF,OFF,L,L,L,L,L,OFF,OFF,D,D,D,OFF,OFF,D,D,L,L,L,OFF,OFF,OFF,OFF,OFF,L,L,OFF,OFF,L,L,OFF,OFF,OFF,OFF,D,L,L
R,OFF,OFF,E,E,D,E,N,OFF,OFF,E,E,E,OFF,OFF,E,E,N,N,N,OFF,OFF,D,D,D,D,E,OFF,OFF,OFF,OFF,OFF,OFF,OFF,D,E,E,N,OFF,OFF,D,D,OFF
S,E,OFF,OFF,D,E,L,N,N,OFF,OFF,E,E,OFF,OFF,E,E,L,OFF,OFF,OFF,OFF,E,D,E,OFF,OFF,OFF,OFF,E,N,N,N,OFF,OFF,D,E,E,OFF,OFF,E,E,D
T,D,D,D,D,D,OFF,OFF,D,D,OFF,OFF,D,D,D,L,OFF,OFF,L,L,L,L,L,OFF,OFF,D,L,OFF,OFF,OFF,D,L,OFF,OFF,OFF,OFF,OFF,OFF,L,L,L,L,L
U,OFF,OFF,OFF,E,D,D,D,D,E,OFF,OFF,OFF,OFF,OFF,L,L,L,L,L,OFF,OFF,OFF,D,E,L,L,OFF,OFF,OFF,D,E,E,L,L,L,OFF,OFF,OFF,E,D,D,E
V,E,L,L,L,L,OFF,OFF,OFF,D,E,D,E,E,E,OFF,OFF,OFF,OFF,D,E,E,E,D,E,OFF,OFF,OFF,OFF,L,L,OFF,OFF,OFF,OFF,OFF,OFF,E,E,L,L,L,L
W,L,L,L,L,L,OFF,OFF,OFF,OFF,OFF,OFF,D,D,D,N,N,N,OFF,OFF,OFF,OFF,L,L,N,OFF,OFF,OFF,OFF,OFF,L,L,L,L,L,L,OFF,OFF,OFF,L,L,L,N
X,N,OFF,OFF,OFF,OFF,E,E,N,N,N,N,OFF,OFF,OFF,D,E,E,E,E,OFF,OFF,OFF,OFF,E,D,E,E,D,E,OFF,OFF,OFF,OFF,D,E,E,E,E,D,OFF,OFF,OFF
Y,OFF,E,E,E,E,OFF,OFF,OFF,E,D,OFF,OFF,OFF,OFF,E,D,E,E,D,OFF,OFF,OFF,E,E,D,D,E,E,OFF,OFF,OFF,E,E,D,D,OFF,OFF,OFF,E,E,E,D
Z,E,E,E,N,OFF,OFF,OFF,D,E,OFF,OFF,OFF,E,E,D,E,E,N,OFF,OFF,OFF,E,D,D,E,OFF,OFF,OFF,OFF,E,E,E,E,N,N,OFF,OFF,OFF,OFF,OFF,E,N
AA,L,L,L,L,L,OFF,OFF,OFF,L,L,L,L,L,L,OFF,OFF,OFF,L,N,N,N,N,N,OFF,OFF,OFF,OFF,OFF,D,L,OFF,OFF,OFF,L,L,L,L,L,OFF,OFF,OFF,OFF
AB,OFF,OFF,OFF,E,OFF,OFF,OFF,OFF,D,OFF,OFF,OFF,D,E,OFF,OFF,OFF,E,E,E,E,OFF,OFF,OFF,OFF,OFF,E,E,E,E,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
AC,OFF,OFF,N,N,OFF,OFF,OFF,OFF,E,OFF,OFF,OFF,L,L,OFF,OFF,OFF,OFF,OFF,L,L,OFF,OFF,OFF,OFF,OFF,L,L,OFF,OFF,D,D,D,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
AD,OFF,OFF,E,OFF,OFF,L,N,OFF,OFF,OFF,D,OFF,OFF,OFF,L,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,N,OFF,OFF,L,L,OFF,OFF,OFF,OFF,D,D,E,OFF,OFF,OFF,OFF,OFF,OFF,OFF
AE,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,D,D,D,D,D,OFF,OFF,OFF,OFF,OFF,N,N,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,E,E,E,E,E,OFF
AF,OFF,OFF,OFF,OFF,OFF,D,D,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,D,E,E,E,E,OFF,OFF,OFF,OFF,OFF,D,D,OFF,OFF,OFF,E,E,OFF,OFF,OFF,OFF,OFF,OFF,E,OFF,OFF
