employee,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
L,a1,OFF,OFF,OFF,a1,a1,a1,d1,d1,OFF,OFF,a1,d2,d2,OFF,OFF,p1,p1,OFF,OFF,OFF,d1,d1,d1,p1,p1,OFF,OFF
M,OFF,d1,d1,OFF,OFF,OFF,OFF,a1,d1,d1,d1,d1,OFF,OFF,OFF,a1,p1,OFF,OFF,a2,a2,a2,a2,OFF,OFF,d1,d2,p1
N,OFF,OFF,OFF,a1,a1,p1,p1,p2,OFF,OFF,a1,a1,OFF,OFF,a1,a2,a1,a2,p2,OFF,OFF,OFF,OFF,OFF,a1,a1,a1,a2
O,OFF,OFF,d1,p2,OFF,OFF,OFF,d1,d1,d1,d1,d1,OFF,OFF,d2,d1,OFF,OFF,OFF,p2,p2,p2,p2,OFF,OFF,d2,d1,d1
P,OFF,a1,p2,p1,OFF,OFF,OFF,OFF,a1,a1,p2,p1,OFF,OFF,a1,p1,OFF,OFF,a1,a1,a1,a1,p1,OFF,OFF,OFF,a1,a1
Q,a1,d1,d1,OFF,OFF,d1,d2,d1,p1,p1,OFF,OFF,a1,a1,a2,a1,p2,OFF,OFF,OFF,OFF,d1,d1,d1,OFF,OFF,OFF,OFF
R,a2,a2,p2,p2,OFF,OFF,OFF,a2,a2,OFF,OFF,p2,p2,p2,p2,p2,OFF,OFF,d2,d2,d2,d2,d2,OFF,OFF,OFF,OFF,OFF
S,p1,p1,p1,p1,p1,OFF,OFF,OFF,a1,a1,a1,a1,OFF,OFF,OFF,OFF,OFF,OFF,d1,d1,d1,d1,d1,OFF,OFF,OFF,a1,a1
T,OFF,OFF,OFF,a1,a1,OFF,OFF,a1,a1,p1,p1,OFF,OFF,OFF,d1,d1,OFF,OFF,d1,d1,d1,p1,p1,OFF,OFF,d1,d1,d1
U,OFF,OFF,a2,a2,p2,OFF,OFF,a2,a2,a2,OFF,OFF,a2,a2,d2,p2,p2,OFF,OFF,a2,d2,d2,d2,d2,OFF,OFF,OFF,OFF
V,d1,OFF,OFF,d1,d1,OFF,OFF,d1,d1,d1,d1,d1,OFF,OFF,p2,p2,p2,OFF,OFF,a2,p2,p2,OFF,OFF,OFF,OFF,d1,d1
W,a1,d1,d1,OFF,OFF,OFF,OFF,p2,p2,p2,OFF,OFF,d2,d1,d1,OFF,OFF,p2,p2,p2,p2,p2,OFF,OFF,d1,d2,OFF,OFF
X,a1,a1,p1,OFF,OFF,d1,d1,d2,d1,d1,OFF,OFF,OFF,OFF,d1,d2,d1,OFF,OFF,d1,d1,d1,d1,d1,OFF,OFF,OFF,OFF
Y,p1,p2,p2,p2,p1,OFF,OFF,OFF,OFF,a2,a2,a2,a2,d1,OFF,OFF,OFF,a2,a2,a2,a2,OFF,OFF,p2,p1,OFF,OFF,OFF
Z,OFF,d1,d1,d1,p2,OFF,OFF,a2,d1,p2,OFF,OFF,p1,p1,p1,p1,OFF,OFF,OFF,OFF,OFF,d1,p1,OFF,OFF,d1,p2,p2
AA,OFF,d1,d1,d1,d2,OFF,OFF,OFF,OFF,a1,a1,a1,a1,a1,OFF,OFF,a1,a1,a1,a1,a1,OFF,OFF,d2,d1,OFF,OFF,OFF
AB,OFF,d1,d1,d1,OFF,OFF,OFF,OFF,OFF,d1,p2,p1,OFF,OFF,OFF,OFF,d1,d1,d1,d1,d1,OFF,OFF,a2,a2,a2,a2,a2
AC,d1,OFF,OFF,d1,d1,OFF,OFF,d1,d1,p1,OFF,OFF,d1,d2,d1,d2,d1,OFF,OFF,d2,d1,p1,p1,p1,OFF,OFF,OFF,OFF
AD,p2,p1,p2,OFF,OFF,p1,p1,p1,p1,p2,OFF,OFF,d2,d2,p1,OFF,OFF,d2,d2,OFF,OFF,OFF,OFF,p2,p1,p2,OFF,OFF
AE,d2,d2,d2,OFF,OFF,d2,d2,d2,OFF,OFF,a1,a1,a1,a1,OFF,OFF,a2,a1,a1,OFF,OFF,a2,a1,a1,OFF,OFF,OFF,OFF
AF,p1,p1,p1,p1,p1,OFF,OFF,OFF,OFF,OFF,d1,d1,OFF,OFF,a1,a1,d1,OFF,OFF,d1,d1,p1,p1,OFF,OFF,OFF,a1,d1
AG,p1,OFF,OFF,a2,p1,p1,p1,p1,OFF,OFF,p1,p1,OFF,OFF,p1,p1,OFF,OFF,a1,a1,p1,p1,OFF,OFF,a2,p1,OFF,OFF
AH,d1,p1,OFF,OFF,d1,d1,d1,d1,d1,OFF,OFF,OFF,d1,p1,p1,p1,p1,OFF,OFF,OFF,OFF,a1,a2,d1,d2,OFF,OFF,OFF
AI,a2,a2,a2,OFF,OFF,d1,d1,OFF,OFF,d1,d1,OFF,OFF,OFF,OFF,a2,a2,a2,a2,OFF,OFF,d1,d1,d1,OFF,OFF,a1,d2
AJ,d1,p2,OFF,OFF,OFF,d1,d1,d1,d1,OFF,OFF,OFF,d1,d1,d1,d1,d1,OFF,OFF,OFF,OFF,d1,d1,d1,d1,d1,OFF,OFF
AK,d1,p1,p1,OFF,OFF,d2,d1,OFF,OFF,d1,p1,OFF,OFF,OFF,d1,d1,d1,d1,OFF,OFF,OFF,d1,p1,p1,OFF,OFF,d1,p1
AL,OFF,a1,a1,d1,d1,OFF,OFF,OFF,OFF,d1,d1,d2,OFF,OFF,OFF,OFF,a1,a1,a1,a1,a1,OFF,OFF,OFF,a1,a1,d1,d1
AM,OFF,OFF,OFF,a1,a1,a1,p1,OFF,OFF,a1,d2,p1,OFF,OFF,a1,a1,a1,a1,OFF,OFF,OFF,a1,a1,a1,OFF,OFF,a1,a1
AN,d1,OFF,OFF,d1,d1,d1,d1,d2,OFF,OFF,a2,a2,a2,a2,d1,OFF,OFF,d1,d1,OFF,OFF,OFF,d2,d1,d1,OFF,OFF,OFF
AO,OFF,d2,d2,d2,d2,p2,p1,OFF,OFF,OFF,p1,p1,p1,p2,p2,p1,OFF,OFF,OFF,OFF,OFF,d2,d2,p1,p1,OFF,OFF,OFF
AP,a1,OFF,OFF,OFF,OFF,a1,a1,a1,a1,a1,d2,OFF,OFF,OFF,OFF,OFF,d1,d1,d1,OFF,OFF,OFF,a1,a1,a1,a2,a2,a1
AQ,p1,p2,p1,p1,OFF,OFF,OFF,OFF,p1,p1,p2,p2,p2,p2,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,p1,p1,p2,p1,p2,p1
AR,a1,OFF,OFF,OFF,a2,a2,a1,OFF,OFF,OFF,d1,d1,OFF,OFF,OFF,d1,p1,p1,p2,OFF,OFF,OFF,a1,a1,a1,a1,d1,d1
AS,d1,p2,OFF,OFF,OFF,d1,d1,d1,d2,OFF,OFF,OFF,a1,a1,d1,d1,d1,p2,OFF,OFF,OFF,OFF,d1,d1,d1,d2,OFF,OFF
AT,a1,a1,OFF,OFF,OFF,d1,d1,d1,OFF,OFF,OFF,OFF,d1,d2,d2,d2,d2,d1,OFF,OFF,OFF,a1,a1,a2,a1,a1,OFF,OFF
AU,OFF,OFF,a2,a2,a2,OFF,OFF,OFF,d2,d2,p1,p1,OFF,OFF,OFF,p1,p1,p1,p1,p1,p1,OFF,OFF,OFF,OFF,a2,d2,d2
AV,d2,d1,d1,d1,d1,OFF,OFF,OFF,OFF,a2,d1,d1,OFF,OFF,OFF,OFF,OFF,d1,d1,d1,d1,OFF,OFF,OFF,d1,d1,d1,d1
AW,d2,d2,d2,d2,d2,OFF,OFF,OFF,p1,p1,p1,p1,p1,p1,OFF,OFF,OFF,p1,p1,OFF,OFF,OFF,OFF,OFF,OFF,p2,p2,p1
AX,p2,p2,p2,p2,p2,OFF,OFF,OFF,a1,a2,a1,a2,d2,d2,OFF,OFF,OFF,OFF,d2,d1,d1,OFF,OFF,OFF,a1,p2,OFF,OFF
