employee,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
K,OFF,OFF,d3,d2,d3,OFF,OFF,d3,d3,d2,d2,p2,OFF,OFF,d2,d3,p2,OFF,OFF,a3,a2,a2,OFF,OFF,d3,d3,d2,d3
L,a1,d2,d2,d2,d2,OFF,OFF,a1,a1,a1,a1,n1,OFF,OFF,n1,n1,OFF,OFF,OFF,a1,a3,a1,a1,OFF,OFF,OFF,a3,a3
M,d3,p2,p1,OFF,OFF,a2,a2,d2,OFF,OFF,a2,a2,a2,d3,p1,OFF,OFF,a3,a2,OFF,OFF,d3,p1,p2,p1,OFF,OFF,OFF
N,d2,d3,n1,OFF,OFF,a1,a1,d2,OFF,OFF,d2,d2,OFF,OFF,d2,p1,n1,OFF,OFF,n1,n1,OFF,OFF,a3,p3,p1,OFF,OFF
O,p3,n1,OFF,OFF,d2,p3,p2,OFF,OFF,p3,p3,p3,p3,p3,OFF,OFF,a1,a2,OFF,OFF,OFF,d2,n1,n1,n1,OFF,OFF,OFF
P,a3,a3,a3,a3,a3,OFF,OFF,OFF,OFF,a3,a3,a3,OFF,OFF,d1,d1,d1,d1,OFF,OFF,d1,d1,d1,OFF,OFF,a3,d1,d1
Q,p3,p3,p3,OFF,OFF,p3,p1,p3,OFF,OFF,OFF,p3,p1,p1,p3,OFF,OFF,a3,a3,OFF,OFF,a3,d2,d2,d2,p3,OFF,OFF
R,a1,a2,a2,a2,a2,OFF,OFF,d3,d3,d3,d3,d3,OFF,OFF,p2,p1,OFF,OFF,OFF,a2,a3,OFF,OFF,OFF,a1,d3,p2,p1
S,a3,p2,p2,p3,p1,OFF,OFF,n1,n1,OFF,OFF,p1,p1,p1,n1,OFF,OFF,a1,a1,a3,a1,a1,OFF,OFF,d2,d2,OFF,OFF
T,n1,OFF,OFF,p3,p3,p3,p3,p3,OFF,OFF,a2,a2,a2,a2,a1,OFF,OFF,OFF,OFF,OFF,OFF,p3,p1,p3,n1,n1,OFF,OFF
U,a1,a1,a1,a1,a1,OFF,OFF,p2,p2,OFF,OFF,a1,a3,a3,p2,OFF,OFF,a1,a1,n1,n1,n1,OFF,OFF,p2,p1,OFF,OFF
V,n1,OFF,OFF,p2,p2,p2,p2,n1,OFF,OFF,p3,p3,OFF,OFF,d1,d1,d3,n1,OFF,OFF,OFF,d1,p2,OFF,OFF,d3,p3,p3
W,d2,d2,p1,p1,p3,OFF,OFF,a3,a3,OFF,OFF,a1,d2,d2,d2,OFF,OFF,d2,p3,p3,p3,OFF,OFF,OFF,p3,p1,OFF,OFF
X,a1,a1,a3,a3,a3,OFF,OFF,a3,a1,OFF,OFF,a1,a1,a1,a1,OFF,OFF,d1,d1,d1,d1,d2,OFF,OFF,a1,a1,OFF,OFF
Y,OFF,OFF,p2,p2,p3,p2,p2,OFF,OFF,a1,d3,d3,n1,n1,OFF,OFF,a1,a1,OFF,OFF,OFF,d3,d3,p3,n1,n1,OFF,OFF
Z,p1,n1,n1,n1,n1,OFF,OFF,OFF,OFF,OFF,a1,d2,d1,d1,p3,OFF,OFF,a1,a1,d3,d3,d2,OFF,OFF,a1,a3,OFF,OFF
AA,p1,p3,n1,OFF,OFF,a3,d3,p1,OFF,OFF,d3,d3,d3,d3,d3,OFF,OFF,a3,n1,OFF,OFF,p3,p3,p3,p3,p2,OFF,OFF
AB,p2,p3,p3,p3,p2,OFF,OFF,a1,n1,OFF,OFF,d2,p1,p2,n1,OFF,OFF,a3,a1,d2,d2,OFF,OFF,p1,p1,p3,OFF,OFF
AC,d2,d2,d2,OFF,OFF,OFF,OFF,d2,d2,d2,d2,d1,OFF,OFF,a3,p2,OFF,OFF,a3,a3,a3,a3,OFF,OFF,d2,p1,p1,p1
AD,d1,d1,d1,d3,d3,OFF,OFF,d2,p1,OFF,OFF,d2,d3,d3,d3,OFF,OFF,a1,d1,OFF,OFF,OFF,OFF,a1,a1,a1,a1,d3
AE,OFF,OFF,d1,d2,d2,d2,n1,OFF,OFF,p3,p1,p1,OFF,OFF,d2,d2,d2,d3,d3,OFF,OFF,d2,d2,d1,OFF,OFF,n1,n1
AF,OFF,a1,a2,d1,d1,OFF,OFF,d1,d1,d1,n1,n1,OFF,OFF,p1,p2,n1,n1,OFF,OFF,d1,d1,d1,OFF,OFF,OFF,a3,a1
AG,p1,n1,OFF,OFF,a1,p2,p3,n1,OFF,OFF,a1,a1,a3,a3,a1,OFF,OFF,p1,n1,OFF,OFF,OFF,d3,d3,n1,OFF,OFF,OFF
AH,a2,a3,a3,a2,a3,OFF,OFF,d1,d1,d1,d1,d2,OFF,OFF,a3,a3,OFF,OFF,OFF,p3,p2,p1,p1,OFF,OFF,OFF,d2,d1
AI,p2,p3,p3,p3,p1,OFF,OFF,a1,p2,p2,p2,p2,OFF,OFF,OFF,OFF,OFF,p2,p2,p2,p2,p2,OFF,OFF,OFF,OFF,a2,a1
AJ,d3,d1,d3,d3,d3,OFF,OFF,a2,a2,a2,a2,OFF,OFF,a2,p3,OFF,OFF,p1,n1,n1,n1,n1,OFF,OFF,d1,p2,OFF,OFF
AK,p3,p3,p3,p1,p2,OFF,OFF,OFF,OFF,OFF,OFF,d1,p3,p3,p3,p3,OFF,OFF,a3,a1,a1,p3,OFF,OFF,a2,a2,OFF,OFF
AL,OFF,OFF,d1,d1,d3,OFF,OFF,d3,d1,d2,d1,d1,OFF,OFF,a2,a2,a3,d1,OFF,OFF,d2,d3,d3,OFF,OFF,a1,a3,a3
AM,a2,a2,a2,a2,d1,OFF,OFF,a2,p3,OFF,OFF,p3,p3,n1,n1,OFF,OFF,p2,p1,p1,p1,p1,OFF,OFF,d2,d2,OFF,OFF
AN,OFF,p1,n1,n1,n1,OFF,OFF,a2,a3,a3,a3,a3,OFF,OFF,OFF,OFF,p1,p1,p1,p3,n1,OFF,OFF,OFF,d1,p3,p3,p1
AO,OFF,p2,p1,n1,n1,n1,n1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,a3,a1,a1,p1,OFF,OFF,OFF,OFF,p1,p1,p1,p1,p1,p3
AP,d3,OFF,OFF,OFF,a3,a3,a3,a1,n1,n1,OFF,OFF,OFF,OFF,p1,p1,p1,p1,p1,OFF,OFF,OFF,OFF,OFF,d1,d2,d1,d2
AQ,n1,OFF,OFF,OFF,a2,a2,d3,p2,p1,p1,OFF,OFF,OFF,OFF,p2,p3,p2,p1,OFF,OFF,OFF,OFF,d2,d3,d3,d3,p2,p2
AR,p1,p2,p1,p1,OFF,OFF,OFF,p1,p1,n1,n1,n1,OFF,OFF,OFF,OFF,OFF,d3,d3,p1,p1,p1,p1,OFF,OFF,OFF,d2,p1
AS,p3,p3,OFF,OFF,OFF,a3,a2,d2,p3,p1,p1,OFF,OFF,OFF,a2,a2,a3,p3,OFF,OFF,OFF,OFF,a2,a2,a2,a3,a2,d2
AT,d1,d1,d1,d1,OFF,OFF,OFF,d1,d3,d1,OFF,OFF,OFF,OFF,OFF,OFF,a2,p2,p2,p2,p2,OFF,OFF,OFF,d3,d1,d2,d2
AU,d3,OFF,OFF,OFF,d1,d1,d1,d1,d1,d3,OFF,OFF,OFF,OFF,p3,n1,n1,n1,OFF,OFF,OFF,OFF,a2,a2,d1,d1,d1,p3
AV,p2,OFF,OFF,OFF,a2,a2,p2,p2,p3,p3,OFF,OFF,OFF,OFF,d2,p3,p1,n1,OFF,OFF,OFF,OFF,a2,a2,a2,a2,p1,n1
AW,a2,a2,a2,a3,OFF,OFF,OFF,a2,a2,a2,a2,a2,OFF,OFF,OFF,OFF,OFF,p2,p2,p2,p2,OFF,OFF,OFF,p1,p2,p1,p2
AX,a3,d1,d2,OFF,OFF,OFF,OFF,p2,p2,OFF,OFF,OFF,d2,d2,d2,d2,d3,d1,OFF,OFF,OFF,OFF,d2,d3,d1,d2,d1,d1
AY,OFF,OFF,OFF,OFF,OFF,d1,d2,d1,OFF,OFF,OFF,OFF,OFF,d2,d3,OFF,OFF,OFF,OFF,d1,d3,d1,d1,d1,OFF,OFF,OFF,OFF
AZ,a3,OFF,OFF,a3,a3,d3,p2,p3,OFF,OFF,OFF,OFF,OFF,a1,a1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,a1,a1
BA,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,a3,p1,OFF,OFF,OFF,p3,p3,p3,p3,p1,OFF,OFF,OFF,p3,p3,p1,OFF
BB,n1,OFF,OFF,OFF,d2,d2,d2,d2,d2,OFF,OFF,OFF,p2,n1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,a2,a2
BC,OFF,OFF,OFF,OFF,OFF,d3,d3,p1,OFF,OFF,OFF,OFF,a3,a3,a3,a3,OFF,OFF,OFF,OFF,a1,a1,a1,OFF,OFF,OFF,OFF,OFF
BD,OFF,p1,p1,p1,p1,OFF,OFF,OFF,OFF,OFF,OFF,p2,n1,OFF,OFF,OFF,OFF,OFF,OFF,d3,p2,OFF,OFF,OFF,OFF,OFF,d3,d3
BE,OFF,OFF,OFF,OFF,OFF,p1,p1,n1,OFF,OFF,OFF,OFF,d1,d2,OFF,OFF,d2,d2,d2,d2,d3,OFF,OFF,OFF,OFF,OFF,OFF,OFF
BF,OFF,OFF,OFF,OFF,OFF,a1,a1,a1,a1,a1,OFF,OFF,OFF,d3,d1,p1,OFF,OFF,OFF,d1,p1,OFF,OFF,OFF,OFF,OFF,OFF,OFF
BG,OFF,OFF,OFF,OFF,OFF,a2,d1,d1,OFF,OFF,OFF,OFF,n1,n1,OFF,OFF,a2,a2,a2,a2,a2,OFF,OFF,OFF,OFF,OFF,OFF,OFF
BH,OFF,OFF,OFF,p2,p2,p2,p3,p3,OFF,OFF,OFF,OFF,d3,d1,d1,OFF,OFF,OFF,OFF,d3,d3,OFF,OFF,OFF,OFF,OFF,OFF,OFF
